ID,Name,Map,Pos x,Pos y
0,Hospital,0,0.1,0.7
1,Hospital,1,0.5,0.7
2,Hospital,2,0.18,0.4
3,Hospital,3,0.06,0.46
4,Hospital,4,0.2,0.7
5,Store,0,0.05,0.64
6,Store,1,0.1,0.8
7,Store,2,0.2,0.8
8,Store,3,0.45,0.8
9,Store,4,0.26,0.58
10,Craft,0,0.36,0.44
11,Craft,1,0.03,0.46
12,Craft,2,0.3,0.64
13,Craft,3,0.74,0.71
14,Craft,4,0.14,0.8
15,Bank,0,0.6,0.48
16,Bank,1,0.26,0.49
17,Bank,2,0.6,0.72
18,Bank,3,0.71,0.46
19,Bank,4,0.56,0.58
20,Forge,0,0.8,0.35
21,Forge,1,0.8,0.6
22,Forge,2,0.67,0.9
23,Forge,3,0.26,0.6
24,Forge,4,0.79,0.42
25,Sign,0,0.8,0.62
26,Sign,1,0.55,0.26
27,Sign,2,0.05,0.55
28,Sign,3,0.09,0.54
29,Sign,4,0.7,0.26
