ID,Nome,Name,Descrição,Description,Price,Drop chance
0,runa de ataque nv 1,atk rune lv 1,-,-,30,10
1,runa de defesa nv 1,def rune lv 1,-,-,30,10
2,runa de ataque nv 2,atk rune lv 2,-,-,340,10
3,runa de defesa nv 2,def rune lv 2,-,-,340,10
4,runa de ataque nv 3,atk rune lv 3,-,-,822,10
5,runa de defesa nv 3,def rune lv 3,-,-,822,10
6,runa de ataque nv 4,atk rune lv 4,-,-,1436,10
7,runa de defesa nv 4,def rune lv 4,-,-,1436,10
8,runa de ataque nv 5,atk rune lv 5,-,-,2158,10
9,runa de defesa nv 5,def rune lv 5,-,-,2158,10
10,runa de ataque nv 6,atk rune lv 6,-,-,2974,10
11,runa de defesa nv 6,def rune lv 6,-,-,2974,10
12,runa de ataque nv 7,atk rune lv 7,-,-,3873,10
13,runa de defesa nv 7,def rune lv 7,-,-,3873,10
14,runa de ataque nv 8,atk rune lv 8,-,-,4850,10
15,runa de defesa nv 8,def rune lv 8,-,-,4850,10
16,runa de ataque nv 9,atk rune lv 9,-,-,5898,10
17,runa de defesa nv 9,def rune lv 9,-,-,5898,10
18,runa de ataque nv 10,atk rune lv 10,-,-,7012,10
19,runa de defesa nv 10,def rune lv 10,-,-,7012,10
20,runa especial de ataque nv 1,special atk rune 1,-,-,8189,10
21,runa especial de defesa nv 1,special def rune 1,-,-,8189,10
22,runa especial de ataque nv 2,special atk rune 2,-,-,9426,10
23,runa especial de defesa nv 2,special def rune 2,-,-,9426,10
24,runa especial de ataque nv 3,special atk rune 3,-,-,10720,10
25,runa especial de defesa nv 3,special def rune 3,-,-,10720,10
26,runa especial de ataque nv 4,special atk rune 4,-,-,12068,10
27,runa especial de defesa nv 4,special def rune 4,-,-,12068,10
28,runa especial de ataque nv 5,special atk rune 5,-,-,13468,10
29,runa especial de defesa nv 5,special def rune 5,-,-,13468,10
30,runa especial de ataque nv 6,special atk rune 6,-,-,14920,10
31,runa especial de defesa nv 6,special def rune 6,-,-,14920,10
32,runa especial de ataque nv 7,special atk rune 7,-,-,16419,10
33,runa especial de defesa nv 7,special def rune 7,-,-,16419,10
34,runa especial de ataque nv 8,special atk rune 8,-,-,17967,10
35,runa especial de defesa nv 8,special def rune 8,-,-,17967,10
36,runa especial de ataque nv 9,special atk rune 9,-,-,19560,10
37,runa especial de defesa nv 9,special def rune 9,-,-,19560,10
38,runa especial de ataque nv 10,special atk rune 10,-,-,21197,10
39,runa especial de defesa nv 10,special def rune 10,-,-,21197,10
