ID,Name,Nome,Price,Drop chance,Description,Descrição,Type
0,Forest hp pot 1,hp da floresta 1,15,25,Forest hp pot 1,hp da floresta 1,Potion
1,Forest mp pot 1,mp da floresta 1,15,25,Forest mp pot 1,mp da floresta 1,Potion
2,Forest hp pot 2,hp da floresta 2,61,25,Forest hp pot 2,hp da floresta 2,Potion
3,Forest mp pot 2,mp da floresta 2,61,25,Forest mp pot 2,mp da floresta 2,Potion
4,Forest hp pot 3,hp da floresta 3,119,25,Forest hp pot 3,hp da floresta 3,Potion
5,Forest mp pot 3,mp da floresta 3,119,25,Forest mp pot 3,mp da floresta 3,Potion
6,Forest hp pot 4,hp da floresta 4,184,25,Forest hp pot 4,hp da floresta 4,Potion
7,Forest mp pot 4,mp da floresta 4,184,25,Forest mp pot 4,mp da floresta 4,Potion
8,Forest hp pot 5,hp da floresta 5,254,25,Forest hp pot 5,hp da floresta 5,Potion
9,Forest mp pot 5,mp da floresta 5,254,25,Forest mp pot 5,mp da floresta 5,Potion
10,Forest hp pot 6,hp da floresta 6,330,25,Forest hp pot 6,hp da floresta 6,Potion
11,Forest mp pot 6,mp da floresta 6,330,25,Forest mp pot 6,mp da floresta 6,Potion
12,Forest hp pot 7,hp da floresta 7,410,25,Forest hp pot 7,hp da floresta 7,Potion
13,Forest mp pot 7,mp da floresta 7,410,25,Forest mp pot 7,mp da floresta 7,Potion
14,Forest hp pot 8,hp da floresta 8,494,25,Forest hp pot 8,hp da floresta 8,Potion
15,Forest mp pot 8,mp da floresta 8,494,25,Forest mp pot 8,mp da floresta 8,Potion
16,Forest hp pot 9,hp da floresta 9,581,25,Forest hp pot 9,hp da floresta 9,Potion
17,Forest mp pot 9,mp da floresta 9,581,25,Forest mp pot 9,mp da floresta 9,Potion
18,Forest hp pot 10,hp da floresta 10,671,25,Forest hp pot 10,hp da floresta 10,Potion
19,Forest mp pot 10,mp da floresta 10,671,25,Forest mp pot 10,mp da floresta 10,Potion
20,Forest hp pot 11,hp da floresta 11,764,25,Forest hp pot 11,hp da floresta 11,Potion
21,Forest mp pot 11,mp da floresta 11,764,25,Forest mp pot 11,mp da floresta 11,Potion
22,Cave hp pot 1,hp da caverna 1,860,25,Cave hp pot 1,hp da caverna 1,Potion
23,Cave mp pot 1,mp da caverna 1,860,25,Cave mp pot 1,mp da caverna 1,Potion
24,Cave hp pot 2,hp da caverna 2,958,25,Cave hp pot 2,hp da caverna 2,Potion
25,Cave mp pot 2,mp da caverna 2,958,25,Cave mp pot 2,mp da caverna 2,Potion
26,Island hp pot 1,hp da ilha 1,1059,20,Island hp pot 1,hp da ilha 1,Potion
27,Island mp pot 1,mp da ilha 1,1059,20,Island mp pot 1,mp da ilha 1,Potion
28,Ocean hp pot 1,hp do oceano 1,1162,20,Ocean hp pot 1,hp do oceano 1,Potion
29,Ocean mp pot 1,mp do oceano 1,1162,20,Ocean mp pot 1,mp do oceano 1,Potion
30,Volcano hp pot 1,hp do vulcão 1,1267,20,Volcano hp pot 1,hp do vulcão 1,Potion
31,Volcano mp pot 1,mp do vulcão 1,1267,20,Volcano mp pot 1,mp do vulcão 1,Potion
32,Volcano hp pot 2,hp do vulcão 2,1375,20,Volcano hp pot 2,hp do vulcão 2,Potion
33,Volcano mp pot 2,mp do vulcão 2,1375,20,Volcano mp pot 2,mp do vulcão 2,Potion
34,Volcano hp pot 3,hp do vulcão 3,1484,15,Volcano hp pot 3,hp do vulcão 3,Potion
35,Volcano mp pot 3,mp do vulcão 3,1484,15,Volcano mp pot 3,mp do vulcão 3,Potion
36,Snowland hp pot 1,hp da terra das neves 1,1595,15,Snowland hp pot 1,hp da terra das neves 1,Potion
37,Snowland mp pot 1,mp da terra das neves 1,1595,15,Snowland mp pot 1,mp da terra das neves 1,Potion
38,Snowland hp pot 2,hp da terra das neves 2,1708,15,Snowland hp pot 2,hp da terra das neves 2,Potion
39,Snowland mp pot 2,mp da terra das neves 2,1708,15,Snowland mp pot 2,mp da terra das neves 2,Potion
40,Water drink,Bebida de água,1500,5,Water boost,Impulso de água,Potion
41,Fire drink,Bebida de fogo,1500,5,Fire boost,Impulso de fogo,Potion
42,Plant drink,Bebida de planta,1500,5,Plant boost,Impulso de planta,Potion
43,Earth drink,Bebida de terra,1500,5,Earth boost,Impulso de terra,Potion
44,Air drink,Bebida de ar,1500,5,Air boost,Impulso de ar,Potion
45,Thunder drink,Bebida de trovão,1500,5,Thunder boost,Impulso de trovão,Potion
46,Light drink,Bebida de luz,1500,5,Light boost,Impulso de luz,Potion
47,Dark drink,Bebida de escuridão,200,8,Dark boost,Impulso de escuridão,Potion
48,Snow drink,Bebida de neve,200,8,Snow boost,Impulso de neve,Potion
49,Phy atk drink,Bebida de ataque físico,200,8,Phy atk boost,Impulso de ataque físico,Potion
50,Mag atk drink,Bebida de ataque mágico,200,8,Mag atk boost,Impulso de ataque mágico,Potion
51,Def drink,Bebida de defesa,200,8,Def boost,Impulso de defesa,Potion
52,Dex and agi drink,Bebida de dex e agi,200,8,Dex and agi boost,Impulso de destreza e agilidade,Potion
53,Stun drink,Bebida de atordoamento,1500,6,Stun boost,Impulso de atordoamento,Potion
54,Block drink,Bebida de bloqueio,1500,6,Block boost,Impulso de bloqueio,Potion
55,Blood drink,Bebida de sangue,1500,6,Blood boost,Impulso de sangue,Potion
56,Poison drink,Bebida de veneno,1500,6,Poison boost,Impulso de veneno,Potion
57,Silence drink,Bebida de silêncio,1500,6,Silence boost,Impulso de silêncio,Potion
58,Speed drink,Bebida de velocidade,1500,6,Speed boost,Impulso de velocidade,Potion
59,Dragon drink,Bebida do dragão,1500,4,Dragon drink,Bebida do dragão,Potion
60,herb 1,erva 1,5,0,-,-,Alchemy
61,wood 1,madeira 1,5,0,-,-,Alchemy
62,metal 1,metal 1,5,0,-,-,Alchemy
63,herb 2,erva 2,405,0,-,-,Alchemy
64,wood 2,madeira 2,405,0,-,-,Alchemy
65,metal 2,metal 2,405,0,-,-,Alchemy
66,herb 3,erva 3,1605,0,-,-,Alchemy
67,wood 3,madeira 3,1605,0,-,-,Alchemy
68,metal 3,metal 3,1605,0,-,-,Alchemy
69,herb 4,erva 4,3605,0,-,-,Alchemy
70,wood 4,madeira 4,3605,0,-,-,Alchemy
71,metal 4,metal 4,3605,0,-,-,Alchemy
72,herb 5,erva 5,6405,0,-,-,Alchemy
73,wood 5,madeira 5,6405,0,-,-,Alchemy
74,metal 5,metal 5,6405,0,-,-,Alchemy
75,herb 6,erva 6,10005,0,-,-,Alchemy
76,wood 6,madeira 6,10005,0,-,-,Alchemy
77,metal 6,metal 6,10005,0,-,-,Alchemy
78,herb 7,erva 7,14405,0,-,-,Alchemy
79,wood 7,madeira 7,14405,0,-,-,Alchemy
80,metal 7,metal 7,14405,0,-,-,Alchemy
81,herb 8,erva 8,19605,0,-,-,Alchemy
82,wood 8,madeira 8,19605,0,-,-,Alchemy
83,metal 8,metal 8,19605,0,-,-,Alchemy
84,herb 9,erva 9,25605,0,-,-,Alchemy
85,wood 9,madeira 9,25605,0,-,-,Alchemy
86,metal 9,metal 9,25605,0,-,-,Alchemy
87,herb 10,erva 10,32405,0,-,-,Alchemy
88,wood 10,madeira 10,32405,0,-,-,Alchemy
89,metal 10,metal 10,32405,0,-,-,Alchemy
90,herb 11,erva 11,22505,0,-,-,Alchemy
91,wood 11,madeira 11,24030,0,-,-,Alchemy
92,metal 11,metal 11,25605,0,-,-,Alchemy
93,herb 12,erva 12,27230,0,-,-,Alchemy
94,wood 12,madeira 12,28905,0,-,-,Alchemy
95,metal 12,metal 12,30630,0,-,-,Alchemy
96,herb 13,erva 13,32405,0,-,-,Alchemy
97,wood 13,madeira 13,34230,0,-,-,Alchemy
98,metal 13,metal 13,36105,0,-,-,Alchemy
99,herb 14,erva 14,38030,0,-,-,Alchemy
100,wood 14,madeira 14,40005,0,-,-,Alchemy
101,metal 14,metal 14,42030,0,-,-,Alchemy
102,herb 15,erva 15,44105,0,-,-,Alchemy
103,wood 15,madeira 15,46230,0,-,-,Alchemy
104,metal 15,metal 15,48405,0,-,-,Alchemy
105,herb 16,erva 16,50630,0,-,-,Alchemy
106,wood 16,madeira 16,52905,0,-,-,Alchemy
107,metal 16,metal 16,55230,0,-,-,Alchemy
108,herb 17,erva 17,57605,0,-,-,Alchemy
109,wood 17,madeira 17,60030,0,-,-,Alchemy
110,metal 17,metal 17,62505,0,-,-,Alchemy
111,herb 18,erva 18,65030,0,-,-,Alchemy
112,wood 18,madeira 18,67605,0,-,-,Alchemy
113,metal 18,metal 18,70230,0,-,-,Alchemy
114,herb 19,erva 19,72905,0,-,-,Alchemy
115,wood 19,madeira 19,75630,0,-,-,Alchemy
116,metal 19,metal 19,78405,0,-,-,Alchemy
117,herb 20,erva 20,81230,0,-,-,Alchemy
118,wood 20,madeira 20,84105,0,-,-,Alchemy
119,metal 20,metal 20,87030,0,-,-,Alchemy
120,atk rune lv 1,runa de ataque nv 1,30,10,-,-,Rune
121,def rune lv 1,runa de defesa nv 1,30,10,-,-,Rune
122,atk rune lv 2,runa de ataque nv 2,340,10,-,-,Rune
123,def rune lv 2,runa de defesa nv 2,340,10,-,-,Rune
124,atk rune lv 3,runa de ataque nv 3,822,10,-,-,Rune
125,def rune lv 3,runa de defesa nv 3,822,10,-,-,Rune
126,atk rune lv 4,runa de ataque nv 4,1436,10,-,-,Rune
127,def rune lv 4,runa de defesa nv 4,1436,10,-,-,Rune
128,atk rune lv 5,runa de ataque nv 5,2158,10,-,-,Rune
129,def rune lv 5,runa de defesa nv 5,2158,10,-,-,Rune
130,atk rune lv 6,runa de ataque nv 6,2974,10,-,-,Rune
131,def rune lv 6,runa de defesa nv 6,2974,10,-,-,Rune
132,atk rune lv 7,runa de ataque nv 7,3873,10,-,-,Rune
133,def rune lv 7,runa de defesa nv 7,3873,10,-,-,Rune
134,atk rune lv 8,runa de ataque nv 8,4850,10,-,-,Rune
135,def rune lv 8,runa de defesa nv 8,4850,10,-,-,Rune
136,atk rune lv 9,runa de ataque nv 9,5898,10,-,-,Rune
137,def rune lv 9,runa de defesa nv 9,5898,10,-,-,Rune
138,atk rune lv 10,runa de ataque nv 10,7012,10,-,-,Rune
139,def rune lv 10,runa de defesa nv 10,7012,10,-,-,Rune
140,special atk rune 1,runa especial de ataque nv 1,8189,10,-,-,Rune
141,special def rune 1,runa especial de defesa nv 1,8189,10,-,-,Rune
142,special atk rune 2,runa especial de ataque nv 2,9426,10,-,-,Rune
143,special def rune 2,runa especial de defesa nv 2,9426,10,-,-,Rune
144,special atk rune 3,runa especial de ataque nv 3,10720,10,-,-,Rune
145,special def rune 3,runa especial de defesa nv 3,10720,10,-,-,Rune
146,special atk rune 4,runa especial de ataque nv 4,12068,10,-,-,Rune
147,special def rune 4,runa especial de defesa nv 4,12068,10,-,-,Rune
148,special atk rune 5,runa especial de ataque nv 5,13468,10,-,-,Rune
149,special def rune 5,runa especial de defesa nv 5,13468,10,-,-,Rune
150,special atk rune 6,runa especial de ataque nv 6,14920,10,-,-,Rune
151,special def rune 6,runa especial de defesa nv 6,14920,10,-,-,Rune
152,special atk rune 7,runa especial de ataque nv 7,16419,10,-,-,Rune
153,special def rune 7,runa especial de defesa nv 7,16419,10,-,-,Rune
154,special atk rune 8,runa especial de ataque nv 8,17967,10,-,-,Rune
155,special def rune 8,runa especial de defesa nv 8,17967,10,-,-,Rune
156,special atk rune 9,runa especial de ataque nv 9,19560,10,-,-,Rune
