ID,Life healing,Mp healing,Satiation
160,5,0,5
161,0,5,10
162,10,0,15
163,0,10,20
164,15,0,25
165,0,15,30
166,20,0,35
167,0,20,40
168,25,0,45
169,0,25,50
170,30,0,55
171,0,30,60
172,35,0,65
173,0,35,70
174,40,0,75
175,0,40,80
176,45,0,85
177,0,45,90
178,50,0,95
179,0,50,100
180,55,0,105
181,0,55,110
182,60,0,115
183,0,60,120
184,65,0,125
185,0,65,130
186,70,0,135
187,0,70,140
188,75,0,145
189,0,75,150
190,80,0,155
191,0,80,160
192,85,0,165
193,0,85,170
194,90,0,175
195,0,90,180
196,95,0,185
197,0,95,190
198,100,0,195
199,0,100,200
200,105,0,205
201,0,105,210
202,110,0,215
203,0,110,220
204,115,0,225
205,0,115,230
206,120,0,235
207,0,120,240
208,125,0,245
209,0,125,250
210,130,0,255
211,0,130,260
212,135,0,265
213,0,135,270
214,140,0,275
215,0,140,280
216,145,0,285
217,0,145,290
218,150,0,295
219,0,150,300
