Type,Nome,Name,Level,Skill,Life,Mp,Range,PhyAtk,MagAtk,PhyDef,MagDef,Dex,Agi,Crit atk,Crit def,Stun atk chance,Stun def chance,Stun duration,Block atk chance,Block def chance,Block duration,Blood atk chance,Blood def chance,Blood atk,Blood def,Blood duration,Poison atk chance,Poison def chance,Poison atk,Poison def,Poison duration,Silence atk chance,Silence def chance,Silence duration,Elem,Exp,Item 0,Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Item 7,Item 8,Item 9,Gold,Step,Move delay,Mp delay,Atk delay
0,Criatura 1,Creature 1,0,1,122,140,60,8,7,8,7,26,9,0.13,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral,2,232,233,300,301,1313,1700,1703,-1,-1,-1,5,1,0.0125,0.625,1.09
1,Criatura 2,Creature 2,1,1,184,178,60,9,10,10,9,25,14,0.13,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,plant,4,0,232,302,303,1314,1723,1800,-1,-1,-1,6,1,0.0125,0.625,0.97
2,Criatura 3,Creature 3,2,1,207,236,60,13,13,13,12,27,13,0.13,0.02,0.05,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral,15,1,120,304,1315,1724,1801,1802,-1,-1,-1,9,1,0.0125,0.625,0.92
3,Criatura 4,Creature 4,3,1,249,247,60,16,11,15,15,30,17,0.14,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,plant,29,2,121,305,1316,1725,1803,1804,-1,-1,-1,14,1,0.0125,0.625,0.83
4,Criatura 5,Creature 5,4,1,301,225,60,18,15,18,17,30,18,0.13,0.02,0.01,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral,44,2,3,306,307,308,1317,1318,1726,1727,1728,21,1,0.0125,0.625,0.98
5,Criatura 6,Creature 6,0,1,120,129,60,9,7,8,7,30,11,0.13,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral,2,226,227,500,501,1307,1700,1702,-1,-1,-1,5,1,0.0125,0.625,0.95
6,Criatura 7,Creature 7,1,1,203,210,60,9,8,10,11,28,11,0.13,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,plant,4,0,226,502,503,1308,1723,1800,-1,-1,-1,6,1,0.0125,0.625,0.90
7,Criatura 8,Creature 8,2,1,229,190,60,11,13,13,11,30,10,0.13,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral,15,1,120,504,1309,1724,1801,1802,-1,-1,-1,9,1,0.0125,0.625,0.97
8,Criatura 9,Creature 9,3,1,239,227,60,14,15,18,16,33,17,0.14,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,water,29,2,121,505,1310,1725,1803,1804,-1,-1,-1,14,1,0.0125,0.625,0.94
9,Criatura 10,Creature 10,4,1,235,274,60,18,18,15,18,29,16,0.14,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral,44,2,3,506,507,508,1311,1321,1726,1727,1728,21,1,0.0125,0.625,0.89
10,Criatura 11,Creature 11,0,1,147,125,60,7,7,8,8,26,12,0.14,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral,2,244,245,700,701,1319,1700,1704,-1,-1,-1,5,1,0.0125,0.625,0.86
11,Criatura 12,Creature 12,1,1,149,200,60,8,11,10,9,34,12,0.14,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,plant,4,0,244,702,703,1320,1723,1805,-1,-1,-1,6,1,0.0125,0.625,0.88
12,Criatura 13,Creature 13,2,1,201,251,60,10,13,12,11,29,13,0.13,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral,15,1,120,704,1321,1724,1806,1807,-1,-1,-1,9,1,0.0125,0.625,0.95
13,Criatura 14,Creature 14,3,1,256,230,60,13,17,14,13,38,19,0.13,0.02,0,0,0,0.05,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,air,29,2,121,705,1322,1725,1808,1809,-1,-1,-1,14,1,0.0125,0.625,0.78
14,Criatura 15,Creature 15,4,1,289,308,60,17,16,17,17,30,18,0.13,0.02,0,0,0,0,0,0,0.03,0,1,0,12,0,0,0,0,0,0,0,0,neutral,44,2,3,706,707,708,1323,1324,1726,1727,1728,21,1,0.0125,0.625,0.97
15,Criatura 16,Creature 16,0,1,120,144,60,7,9,7,9,28,10,0.13,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral,2,238,239,900,901,1325,1700,1718,-1,-1,-1,5,1,0.0125,0.625,0.98
16,Criatura 17,Creature 17,1,1,152,170,60,11,10,10,10,27,14,0.13,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,plant,4,0,238,902,903,1326,1723,1800,-1,-1,-1,6,1,0.0125,0.625,0.93
17,Criatura 18,Creature 18,2,1,223,201,60,12,12,13,12,26,16,0.13,0.02,0,0,0,0,0,0,0.05,0,1,0,10,0,0,0,0,0,0,0,0,earth,15,1,120,904,1327,1724,1801,1802,-1,-1,-1,9,1,0.0125,0.625,1.00
18,Criatura 19,Creature 19,3,1,263,227,60,16,15,14,13,38,12,0.14,0.02,0,0,0,0,0,0,0,0,0,0,0,0.02,0,1,0,20,0,0,0,neutral,29,2,121,905,1328,1725,1803,1804,-1,-1,-1,14,1,0.0125,0.625,1.00
19,Criatura 20,Creature 20,4,1,235,289,60,18,18,16,20,27,20,0.13,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral,44,2,3,906,907,908,1329,1330,1726,1727,1728,21,1,0.0125,0.625,0.96
20,Criatura 21,Creature 21,0,1,127,163,60,8,8,7,8,25,11,0.13,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral,2,220,221,1100,1101,1301,1700,1701,-1,-1,-1,5,1,0.0125,0.625,0.99
21,Criatura 22,Creature 22,1,1,189,170,60,8,10,11,11,27,11,0.13,0.02,0,0,0,0,0,0,0.05,0,1,0,6,0,0,0,0,0,0,0,0,fire,4,0,220,1102,1103,1302,1723,1800,-1,-1,-1,6,1,0.0125,0.625,0.91
22,Criatura 23,Creature 23,2,1,220,248,60,10,13,13,10,32,16,0.13,0.02,0,0,0,0,0,0,0,0,0,0,0,0.03,0,1,0,20,0,0,0,neutral,15,1,120,1104,1303,1724,1801,1802,-1,-1,-1,9,1,0.0125,0.625,0.93
23,Criatura 24,Creature 24,3,1,260,243,60,16,16,15,11,33,14,0.13,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,10,plant,29,2,121,1105,1304,1725,1803,1804,-1,-1,-1,14,1,0.0125,0.625,0.93
24,Criatura 25,Creature 25,4,1,235,285,60,18,17,18,17,32,20,0.13,0.02,0,0,0,0,0,0,0,0,0,0,0,0.07,0,1,0,20,0.03,0,12,neutral,44,2,3,1106,1107,1108,1305,1306,1726,1727,1728,21,1,0.0125,0.625,0.88
25,Criatura 26,Creature 26,5,1,314,317,60,22,18,17,19,38,14,0.14,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral,63,140,240,709,710,1345,1700,1810,-1,-1,-1,30,1,0.0125,0.625,0.93
26,Criatura 27,Creature 27,6,1,347,293,60,21,22,25,21,38,19,0.13,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral,82,4,240,711,1346,1347,1713,1811,-1,-1,-1,41,1,0.0125,0.625,0.98
27,Criatura 28,Creature 28,7,1,291,440,60,26,27,20,23,38,25,0.13,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral,97,5,141,912,913,1348,1729,1812,-1,-1,-1,54,1,0.0125,0.625,0.90
28,Criatura 29,Creature 29,8,1,361,385,60,24,28,25,32,38,22,0.14,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral,118,6,914,1349,1350,1730,1813,1814,-1,-1,-1,69,1,0.0125,0.625,0.98
29,Criatura 30,Creature 30,9,1,480,455,60,32,28,32,27,33,28,0.13,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral,140,6,7,315,316,317,1351,1731,1732,1733,1734,86,1,0.0125,0.625,0.91
30,Criatura 31,Creature 31,5,1,262,275,60,18,24,17,20,36,23,0.13,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral,63,140,228,509,510,1338,1700,1810,-1,-1,-1,30,1,0.0125,0.625,0.95
31,Criatura 32,Creature 32,6,1,309,358,60,27,24,23,23,27,18,0.13,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral,82,4,228,511,1339,1340,1709,1811,-1,-1,-1,41,1,0.0125,0.625,0.87
32,Criatura 33,Creature 33,7,1,379,380,60,22,24,26,24,36,26,0.13,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral,97,5,141,712,713,1341,1729,1812,-1,-1,-1,54,1,0.0125,0.625,0.84
33,Criatura 34,Creature 34,8,1,439,412,60,26,26,30,21,33,26,0.13,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral,118,6,714,1342,1343,1730,1813,1814,-1,-1,-1,69,1,0.0125,0.625,0.93
34,Criatura 35,Creature 35,9,1,438,432,60,24,34,26,36,39,30,0.13,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral,140,6,7,1115,1116,1117,1344,1731,1732,1733,1734,86,1,0.0125,0.625,0.93
35,Criatura 36,Creature 36,5,1,318,279,60,21,19,19,21,38,17,0.13,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral,63,140,234,909,910,1352,1700,1810,-1,-1,-1,30,1,0.0125,0.625,0.88
36,Criatura 37,Creature 37,6,1,309,321,60,19,25,19,24,35,23,0.14,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral,82,4,234,911,1353,1354,1719,1811,-1,-1,-1,41,1,0.0125,0.625,0.88
37,Criatura 38,Creature 38,7,1,415,405,60,23,21,24,30,33,19,0.13,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral,97,5,141,1112,1113,1355,1729,1812,-1,-1,-1,54,1,0.0125,0.625,0.88
38,Criatura 39,Creature 39,8,1,439,352,60,25,30,27,24,35,22,0.14,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral,118,6,1114,1356,1357,1730,1813,1814,-1,-1,-1,69,1,0.0125,0.625,0.90
39,Criatura 40,Creature 40,9,1,450,449,60,28,30,28,28,39,23,0.13,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral,140,6,7,515,516,517,1358,1731,1732,1733,1734,86,1,0.0125,0.625,0.98
