ID,Price,Drop chance,Life heal,Mp heal
0,5,0,0.05,0
1,5,0,0,0.05
2,5,0,0,0
3,405,0,0.1,0
4,405,0,0,0.1
5,405,0,0,0
6,1605,0,0.15,0
7,1605,0,0,0.15
8,1605,0,0,0
9,3605,0,0.2,0
10,3605,0,0,0.2
11,3605,0,0,0
12,6405,0,0.25,0
13,6405,0,0,0.25
14,6405,0,0,0
15,10005,0,0,0
16,10005,0,0,0
17,10005,0,0,0
18,14405,0,0,0
19,14405,0,0,0
20,14405,0,0,0
21,19605,0,0,0
22,19605,0,0,0
23,19605,0,0,0
24,25605,0,0,0
25,25605,0,0,0
26,25605,0,0,0
27,32405,0,0,0
28,32405,0,0,0
29,32405,0,0,0
30,22505,0,0,0
31,24030,0,0,0
32,25605,0,0,0
33,27230,0,0,0
34,28905,0,0,0
35,30630,0,0,0
36,32405,0,0,0
37,34230,0,0,0
38,36105,0,0,0
39,38030,0,0,0
40,40005,0,0,0
41,42030,0,0,0
42,44105,0,0,0
43,46230,0,0,0
44,48405,0,0,0
45,50630,0,0,0
46,52905,0,0,0
47,55230,0,0,0
48,57605,0,0,0
49,60030,0,0,0
50,62505,0,0,0
51,65030,0,0,0
52,67605,0,0,0
53,70230,0,0,0
54,72905,0,0,0
55,75630,0,0,0
56,78405,0,0,0
57,81230,0,0,0
58,84105,0,0,0
59,87030,0,0,0
