Job,ProJob,ID,Name,Nome,Max level,Mp cost at level 1,Type,Pre-requisite 1 ID,Pre-requisite 1 Level,Pre-requisite 2 ID,Pre-requisite 2 Level,Pre-requisite 3 ID,Pre-requisite 3 Level,Cooldown,Duration,Atk,Atk %,Def,Def %,Dex,Dex %,Agi,Agi %,Crit atk %,Crit def %,Stun atk mod,Stun def mod,Stun dur mod,Block atk mod,Block def mod,Block dur mod,Blood atk mod,Blood def mod,Blood dur mod,Poison atk mod,Poison def mod,Poison dur mod,Silence atk mod,Silence def mod,Silence dur mod,Elem,Efeito.,Descrição.,Effect.,Description.,
0,0,0,Stroke,Pancada,5,20,offensive,-1,3,-1,3,-1,3,30,-1,1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral,Ataque físico com dano adicional de até 5 + 10%.,Movimento especial causando mais dano físico que ataques normais.,Effect.,Special move that causes extra physical damage.,
0,0,1,Vitality,Vitalidade,5,-1,passive,0,3,-1,3,-1,3,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral,Aumenta permanente a vida máxima em até 50 + 25%.,Treino de resistência física que aumenta a quantidade de dano suportado.,Effect.,Physical training that incrases the amount of damage you can take.,
0,0,2,Strength,Força,5,-1,passive,0,3,-1,3,-1,3,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral,Aumenta permanente o ataque físico em até 10 + 20%.,Treino de ataque físico que aumenta o dano físico causado a inimigos.,Effect.,Physical training that increases the damage causes to enemies.,
0,0,3,Resistance,Resistência,5,-1,passive,0,3,-1,3,-1,3,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral,Aumenta permanente a defesa física em até 10 + 20%.,Treino de defesa física que reduz o dano físico recebido de inimigos.,Effect.,Physical training that increases physical defense.,
0,0,4,Endless life,Vida eterna,5,40,support,1,3,-1,3,-1,3,100,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral,Aumenta a vida temporariamente em até 100% com chance de receber atordoamento de até 10%.,Concentra a energia vital aumentando temporariamente a quantidade de vida.,Effect.,Concentrates vital energy temporarily increasing the amount of life.,
0,0,5,offensive posture,Postura ofensiva,5,60,support,2,3,-1,3,-1,3,80,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral,Aumenta temporariamente o ataque físico em até 50% e reduz temporariamente a defesa física em até 25%.,Assume uma postura totalmente ofensiva causando temporariamente mais dano porém cuidando menos de sua defesa.,Effect.,Assumes an offensive posture causing more damage but reducing your defense.,
0,0,6,Penetrating hit,Ataque penetrante,5,60,offensive,3,3,-1,3,-1,3,50,-1,0,0,0,-0.04,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral,Ataque físico padrão que ignora até 20% da defesa física e possui destreza e chance de crítico até 5% maior.,Ataque que penetra mais fundo na defesa do inimigo ignorando parte da sua defesa e aumentando a chance de ataque crítico.,Effect.,Attack that penetrates deeply ignoring part of the enemy's defense and increasing the chance of critical damage.,
0,0,7,Thick blood,Sangue grosso,5,-1,passive,4,3,-1,3,-1,3,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral,Diminui permanentemente o dano provocado por sangramento em até 2 + 25%.,Alimentação e treino especiais que engrossa o sangue diminuindo a quantidade de sangramento em feridas.,Effect.,Special diet and training that thickens the blood reducing the amount of bleeing.,
0,0,8,Powerful knock,Batida poderosa,5,50,offensive,5,3,-1,3,-1,3,50,-1,10,0.04,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral,Ataque físico com dano adicional de até 50 + 20% chance de crítico até 5% maior e chance adicional de atordoar de até 5%.,Um poderoso movimento que causa bastante dano físico podendo até ser crítico e atordoar o inimigo.,Effect.,Powerful move that causes a lot of physical damage with chance of critical and stun.,
0,0,9,Block,Bloqueio,5,5,offensive,6,3,-1,3,-1,3,200,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral,Aumenta temporariamente a defesa de até 20% e chance de bloqueio de até 80%.,Concentra na defesa aumentando temporariamente a defesa e a chance de bloquear golpes.,Effect.,Concentrates on defense temporarily increasing the defense and chance of blocking.,
0,0,10,Neutral resistance,Resistência neutra,5,-1,passive,7,3,-1,3,-1,3,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral,Aumenta permanentemente a resistência contra danos neutros em até 15%.,Técnica que permite utilizar a energia mágica como vida temporariamente.,Effect.,Technique that allows the use of magical energy as life.,
0,0,11,Fitness,Condição física,5,-1,passive,8,3,-1,3,-1,3,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral,Aumenta permanentemente o ataque físico em até 10 a destreza em até 5 e a agi em até 5.,Duro treinamento físico que aumenta ataque destreza e agilidade.,Effect.,Hard physical training that increases attack dex and agi.,
0,0,12,Defensive posture,Posture defensiva,5,50,support,9,3,-1,3,-1,3,100,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral,Aumenta temporariamente a defesa física em até 50% e reduz o ataque físico em até 25%.,Assume uma postura defensiva aumentando temporariamente a defesa porém causando menos dano.,Effect.,Assumes a defensive posture that increases the defense but reduces the damage you cause.,
0,0,13,Sword technique,Técnica de espada,5,60,offensive,10,3,11,3,12,3,50,-1,10,0.05,0,0,0,0,0,0,0.04,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral,Ataque físico com dano adicional de até 50 + 25% chance adicional de crítico e atordoar de até 20% e aumento temporário de vida ataque físico e defesa física em até 10%.,Poderosa técnica que causa grande dano físico com boa chance de ser crítico e atordoar o inimigo ao mesmo tempo em que aumenta a força física.,Effect.,Powerful technique that causes a lot of physical chance and has a good chance of critical and stun while increasing attack and defense.,
0,1,14,Lord training,Treinamento de Lorde,5,-1,passive,-1,3,-1,3,-1,3,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral,Aumenta permanentemente o vida máxima o ataque físico e a defesa física em até 1100 45 e 25.,Intenso treinamento físico que faz parte da preparação para se tornar um Lorde.,Effect.,Description.,
0,1,15,Stun hit,Ataque atordoante,5,80,offensive,14,3,-1,3,-1,3,50,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral,Ataque com dano físico adicional de até 100 + 50% e chance de atordoar de até 70%.,Ataque especial com o objetivo de atordoar o alvo.,Effect.,Description.,
0,1,16,Bang on!,Na mosca!,5,80,offensive,14,3,-1,3,-1,3,50,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral,Ataque com até 80% de dano adicional e com até 100% mais precisão. Diminui temporariamente a defesa em até 20%.,Ataque muito preciso porém que força o Lorde a baixar sua guarda para executar.,Effect.,Description.,
