ID,Name,Description
0,herb 1,-
1,wood 1,-
2,metal 1,-
3,herb 2,-
4,wood 2,-
5,metal 2,-
6,herb 3,-
7,wood 3,-
8,metal 3,-
9,herb 4,-
10,wood 4,-
11,metal 4,-
12,herb 5,-
13,wood 5,-
14,metal 5,-
15,herb 6,-
16,wood 6,-
17,metal 6,-
18,herb 7,-
19,wood 7,-
20,metal 7,-
21,herb 8,-
22,wood 8,-
23,metal 8,-
24,herb 9,-
25,wood 9,-
26,metal 9,-
27,herb 10,-
28,wood 10,-
29,metal 10,-
30,herb 11,-
31,wood 11,-
32,metal 11,-
33,herb 12,-
34,wood 12,-
35,metal 12,-
36,herb 13,-
37,wood 13,-
38,metal 13,-
39,herb 14,-
40,wood 14,-
41,metal 14,-
42,herb 15,-
43,wood 15,-
44,metal 15,-
45,herb 16,-
46,wood 16,-
47,metal 16,-
48,herb 17,-
49,wood 17,-
50,metal 17,-
51,herb 18,-
52,wood 18,-
53,metal 18,-
54,herb 19,-
55,wood 19,-
56,metal 19,-
57,herb 20,-
58,wood 20,-
59,metal 20,-
