ID,Name,Description
0,ferky,-
1,sewing thread,-
2,sintetic leather,-
3,iron ore,-
4,igniting rocks,-
5,cotton,-
6,gold ore,-
7,carbon,-
8,gold,-
9,iron,-
10,mountain feather,-
11,meteorite,-
12,needle,-
13,coal,-
14,steel,-
15,yeast,-
16,oyster shell,-
17,titanium,-
18,bamboo,-
19,cloth,-
20,stake,-
21,alcohol,-
22,vines,-
23,lego,-
24,plastic piece,-
25,clay,-
26,protective gel,-
27,dreamcatcher,-
28,purifying amulet,-
29,aluminum,-
30,floating cotton,-
31,fang,-
32,rugged wood,-
33,tie,-
34,shared tie,-
35,musical note,-
36,amplifying extension,-
37,scar,-
38,beast scales,-
39,bond,-
40,loving barrier,-
41,kunai,-
42,shinobe protection,-
43,reserve tank,-
44,self-filling energy,-
45,plasma ball,-
46,fluent energy,-
47,spike,-
48,calcic formation,-
49,organic mass,-
50,gooey mucus,-
51,moss,-
52,thick mist,-
53,glory,-
54,topping disk,-
55,maleficent influence,-
56,somber tentacles,-
57,spiked fur,-
58,rebel attitude,-
59,sword fragment,-
60,piece of shield,-
61,crost,-
62,calcified shell,-
63,beach sand,-
64,wet grains,-
65,shiny rock,-
66,incandescent beam,-
67,totem,-
68,leaf crown,-
69,wavy power,-
70,water bubble,-
71,circular flame,-
72,conjured explosion,-
73,inner flame,-
74,continuous step,-
75,tectonic plate,-
76,earthly blast,-
77,pressurized lava,-
78,untamed power,-
79,radiactive uranium,-
80,strong core,-
81,dragon eye,-
82,dragon ear,-
83,dragon skin,-
84,dragon head,-
85,popsicle,-
86,frozen balls,-
87,polar snow,-
88,magnetic pole,-
89,boreal light,-
90,bright dawn,-
91,adventurous water,-
92,adventurous fire,-
93,adventurous earth,-
94,adventurous plant,-
95,adventurous air,-
96,adventurous thunder,-
97,adventurous light,-
98,adventurous darkness,-
99,adventurous snow,-
