ID,Name,Description
0,berry,-
1,apple,-
2,banana,-
3,strawberry,-
4,chilli peper,-
5,blackberry,-
6,small fish,-
7,medium fish,-
8,big fish,-
9,raspberry,-
10,lemon,-
11,orange,-
12,tomato,-
13,carrot,-
14,honey,-
15,mango,-
16,watermelon,-
17,grapes,-
18,raw meat,-
19,toasted meat,-
20,milk,-
21,insect,-
22,leech,-
23,bread,-
24,corn,-
25,potato bread,-
26,humus,-
27,guarana,-
28,acai,-
29,chestnut,-
30,bat,-
31,cave rat,-
32,spider,-
33,mushroom,-
34,fossil,-
35,lime,-
36,toasted fossil,-
37,heated lime,-
38,coconut,-
39,heart of palm,-
40,fruit salad,-
41,crab,-
42,cocktail,-
43,soup,-
44,hot beverage,-
45,coffee,-
46,garlic bread,-
47,noodles,-
48,yakisoba,-
49,melted cheese,-
50,dragon's food,-
51,hot chocolate,-
52,pizza,-
53,ice cream,-
54,ice tea,-
55,sweeties,-
56,chocolate milk,-
57,eel,-
58,algae,-
59,oyster,-
