ID,Name,Description
0,atk rune lv 1,-
1,def rune lv 1,-
2,atk rune lv 2,-
3,def rune lv 2,-
4,atk rune lv 3,-
5,def rune lv 3,-
6,atk rune lv 4,-
7,def rune lv 4,-
8,atk rune lv 5,-
9,def rune lv 5,-
10,atk rune lv 6,-
11,def rune lv 6,-
12,atk rune lv 7,-
13,def rune lv 7,-
14,atk rune lv 8,-
15,def rune lv 8,-
16,atk rune lv 9,-
17,def rune lv 9,-
18,atk rune lv 10,-
19,def rune lv 10,-
20,special atk rune 1,-
21,special def rune 1,-
22,special atk rune 2,-
23,special def rune 2,-
24,special atk rune 3,-
25,special def rune 3,-
26,special atk rune 4,-
27,special def rune 4,-
28,special atk rune 5,-
29,special def rune 5,-
30,special atk rune 6,-
31,special def rune 6,-
32,special atk rune 7,-
33,special def rune 7,-
34,special atk rune 8,-
35,special def rune 8,-
36,special atk rune 9,-
37,special def rune 9,-
38,special atk rune 10,-
39,special def rune 10,-
