ID,Name,Description
0,pet hp pot 1,-
1,pet mp pot 1,-
2,pet ration,-
3,pet's wood set,-
4,pet hp pot 2,-
5,pet mp pot 2,-
6,banana smoothie,-
7,pet's metal set,-
8,pet hp pot 3,-
9,pet mp pot 3,-
10,apple smoothie,-
11,pet's steel set,-
12,pet hp pot 4,-
13,pet mp pot 4,-
14,blackb smoothie,-
15,pet's rocky set,-
16,pet hp pot 5,-
17,pet mp pot 5,-
18,strawberry smoothie,-
19,pet's fossilized set,-
20,pet hp pot 6,-
21,pet mp pot 6,-
22,mini coconut,-
23,pet's ruins set,-
24,pet hp pot 7,-
25,pet mp pot 7,-
26,fresh water,-
27,pet's tropical set,-
28,pet hp pot 8,-
29,pet mp pot 8,-
30,pet energy drink,-
31,pet's coconut set,-
32,pet hp pot 9,-
33,pet mp pot 9,-
34,eagle eye,-
35,pet's ocean set,-
36,pet hp pot 10,-
37,pet mp pot 10,-
38,plancton,-
39,pet's magma set,-
40,pet hp pot 11,-
41,pet mp pot 11,-
42,ashes,-
43,pet's chocolate set,-
44,pet hp pot 12,-
45,pet mp pot 12,-
46,boiling water,-
47,pet's fenix set,-
48,pet hp pot 13,-
49,pet mp pot 13,-
50,snacks,-
51,pet's dragon set,-
52,pet hp pot 14,-
53,pet mp pot 14,-
54,serpent tail,-
55,pet's cold set,-
56,pet hp pot 15,-
57,pet mp pot 15,-
58,ice flock,-
59,pet's snowman set,-
