ID,Name,Description
0,Forest hp pot 1,Forest hp pot 1
1,Forest mp pot 1,Forest mp pot 1
2,Forest hp pot 2,Forest hp pot 2
3,Forest mp pot 2,Forest mp pot 2
4,Forest hp pot 3,Forest hp pot 3
5,Forest mp pot 3,Forest mp pot 3
6,Forest hp pot 4,Forest hp pot 4
7,Forest mp pot 4,Forest mp pot 4
8,Forest hp pot 5,Forest hp pot 5
9,Forest mp pot 5,Forest mp pot 5
10,Forest hp pot 6,Forest hp pot 6
11,Forest mp pot 6,Forest mp pot 6
12,Forest hp pot 7,Forest hp pot 7
13,Forest mp pot 7,Forest mp pot 7
14,Forest hp pot 8,Forest hp pot 8
15,Forest mp pot 8,Forest mp pot 8
16,Forest hp pot 9,Forest hp pot 9
17,Forest mp pot 9,Forest mp pot 9
18,Forest hp pot 10,Forest hp pot 10
19,Forest mp pot 10,Forest mp pot 10
20,Forest hp pot 11,Forest hp pot 11
21,Forest mp pot 11,Forest mp pot 11
22,Cave hp pot 1,Cave hp pot 1
23,Cave mp pot 1,Cave mp pot 1
24,Cave hp pot 2,Cave hp pot 2
25,Cave mp pot 2,Cave mp pot 2
26,Island hp pot 1,Island hp pot 1
27,Island mp pot 1,Island mp pot 1
28,Ocean hp pot 1,Ocean hp pot 1
29,Ocean mp pot 1,Ocean mp pot 1
30,Volcano hp pot 1,Volcano hp pot 1
31,Volcano mp pot 1,Volcano mp pot 1
32,Volcano hp pot 2,Volcano hp pot 2
33,Volcano mp pot 2,Volcano mp pot 2
34,Volcano hp pot 3,Volcano hp pot 3
35,Volcano mp pot 3,Volcano mp pot 3
36,Snowland hp pot 1,Snowland hp pot 1
37,Snowland mp pot 1,Snowland mp pot 1
38,Snowland hp pot 2,Snowland hp pot 2
39,Snowland mp pot 2,Snowland mp pot 2
40,Water boost,Water boost
41,Fire boost,Fire boost
42,Plant boost,Plant boost
43,Earth boost,Earth boost
44,Air boost,Air boost
45,Thunder boost,Thunder boost
46,Light boost,Light boost
47,Dark boost,Dark boost
48,Snow boost,Snow boost
49,Phy atk boost,Phy atk boost
50,Mag atk boost,Mag atk boost
51,Def boost,Def boost
52,Dex and agi boost,Dex and agi boost
53,Stun boost,Stun boost
54,Block boost,Block boost
55,Blood boost,Blood boost
56,Poison boost,Poison boost
57,Silence boost,Silence boost
58,Speed boost,Speed boost
59,Dragon drink,Dragon drink
