ID,Name,Description
0,rigid shell,-
1,cutting edge,-
2,harden wood,-
3,resin,-
4,fixed base,-
5,childhood memory,-
6,fighting spirit,-
7,wild curiosity,-
8,encouraging boldness,-
9,playful mind,-
10,brave heart,-
11,bold voice,-
12,impetuous impulse,-
13,fierce gesture,-
14,fiery will,-
15,proof of courage,-
16,proof of honor,-
17,proof of loyalty,-
18,orb of the master lord,-
19,proof of worthness,-
20,proof of benignity,-
21,orb of the master shielder,-
22,proof of magic,-
23,proof of wisdom,-
24,proof of knowledge,-
25,orb of the master archmage,-
26,proof of replenishment,-
27,proof of purity,-
28,orb of the master healer,-
29,proof of determination,-
30,proof of dexterity,-
31,proof of energy,-
32,orb of the master ranger,-
33,proof of simplicity,-
34,proof of chemistry,-
35,orb of the master elementalist,-
36,proof of nature,-
37,proof of peace,-
38,proof of equilibrum,-
39,orb of the master king of the forest,-
40,proof of wildness,-
41,proof of harmony,-
42,orb of the master wild,-
43,proof of crime,-
44,proof of money,-
45,proof of ambition,-
46,orb of the master mercenary,-
47,proof of power,-
48,proof of agility,-
49,orb of the master agile,-
50,moldable copper,-
51,manipulative tube,-
52,hittable block,-
53,spiky adornment,-
54,metallic sparkles,-
55,amulet of trust,-
56,friendship link,-
57,creative bond,-
58,unbreakable connection,-
59,internal joke,-
60,ascending will,-
61,climbing equipment,-
62,bulky mass,-
63,robustness,-
64,muscular constitution,-
65,chemical fluid,-
66,magical bubbles,-
67,hipnotic whirl,-
68,vivid blood,-
69,arcane energy,-
70,cloud blade,-
71,shadowy cap,-
72,pervasive ornament,-
73,swift shoes,-
74,slicing armlet,-
75,duty badge,-
76,job proud,-
77,mastery amulet,-
78,calistic stake,-
79,official emblem,-
80,flexible wood,-
81,line,-
82,hook,-
83,handcatched fish,-
84,swimming feet,-
85,soundwave,-
86,volant timbre,-
87,vibrating vein,-
88,ressonant metal,-
89,rock 'n roll spirit,-
90,enchanted rock,-
91,shiny neon,-
92,orbital sphere,-
93,precious material,-
94,forging rock,-
95,himonous belt,-
96,vampiric hand,-
97,molecular optics,-
98,stringent hair,-
99,voltaic turbine,-
100,spiritual face,-
101,feline paw,-
102,breezy air,-
103,pale sheet,-
104,humid cell,-
105,fulvous curve,-
106,demoniac horn,-
107,cancerigeous tile,-
108,rubber piece,-
109,peaceful smile,-
110,piercing cone,-
111,hardened mineral,-
112,crystalized gypsum,-
113,gluey gel,-
114,armored base,-
115,native tatoo,-
116,skirt of leaves,-
117,tribal mask,-
118,indigenous tools,-
119,survival weapon,-
120,violent move,-
121,rare petal,-
122,fragant scent,-
123,luscious tail,-
124,delicious brain,-
125,shadow of the ruins,-
126,mouse cheese,-
127,conveninent lamp,-
128,perfect snowdog,-
129,worthless garbage,-
130,radioactive ray,-
131,charged nuclei,-
132,fused neutron,-
133,electromagnetic strength,-
134,quantic vibration,-
135,atractive aroma,-
136,rodent teeth,-
137,nuclear liquid,-
138,molten rock,-
139,musical string,-
140,old jackknife,-
141,hard wire,-
142,long piece of wood,-
143,warm blanket,-
144,clown nose,-
145,warrior of the wolves,-
146,boreal seed,-
147,natural paint,-
148,polar animal,-
149,unknown intuition,-
150,motivated semblant,-
151,constant bravery,-
152,incisive flame,-
153,apocaliptic spear,-
154,otherworld eye,-
155,ludic puppet,-
156,boar mask,-
157,fervid hat,-
158,timeless enchantment,-
159,charming fragance,-
160,letal vaccine,-
161,enlighted dream,-
162,blessed event,-
163,leap of faith,-
164,large scroll,-
165,writing ink,-
166,gargolian wings,-
167,vampiric look,-
168,jurassic feather,-
169,teddy bear,-
170,contagious rhythm,-
171,iconic adams,-
172,designed bookmark,-
173,artistic creation,-
174,autonomous hand,-
175,elixir of life,-
176,sphere of zygot,-
177,interactive living being,-
178,ancient gas lamp,-
179,preserved papyrus,-
180,thoughtful note,-
181,calm writer,-
182,electric beverage,-
183,recovered scratches,-
184,fine sand,-
185,chill glue,-
186,exposed cable,-
187,alternative fingers,-
188,plasticized records,-
189,vibrant pick,-
190,medieval dinosaur,-
191,glitchy software,-
192,sweet juice,-
193,carbon powder,-
194,spacial sheet,-
195,appetizing treat,-
196,cozy saddle,-
197,dragon's aura,-
198,relaxed posture,-
199,frozen map,-
