ID,Nome,Descrição
0,erva 1,-
1,madeira 1,-
2,metal 1,-
3,erva 2,-
4,madeira 2,-
5,metal 2,-
6,erva 3,-
7,madeira 3,-
8,metal 3,-
9,erva 4,-
10,madeira 4,-
11,metal 4,-
12,erva 5,-
13,madeira 5,-
14,metal 5,-
15,erva 6,-
16,madeira 6,-
17,metal 6,-
18,erva 7,-
19,madeira 7,-
20,metal 7,-
21,erva 8,-
22,madeira 8,-
23,metal 8,-
24,erva 9,-
25,madeira 9,-
26,metal 9,-
27,erva 10,-
28,madeira 10,-
29,metal 10,-
30,erva 11,-
31,madeira 11,-
32,metal 11,-
33,erva 12,-
34,madeira 12,-
35,metal 12,-
36,erva 13,-
37,madeira 13,-
38,metal 13,-
39,erva 14,-
40,madeira 14,-
41,metal 14,-
42,erva 15,-
43,madeira 15,-
44,metal 15,-
45,erva 16,-
46,madeira 16,-
47,metal 16,-
48,erva 17,-
49,madeira 17,-
50,metal 17,-
51,erva 18,-
52,madeira 18,-
53,metal 18,-
54,erva 19,-
55,madeira 19,-
56,metal 19,-
57,erva 20,-
58,madeira 20,-
59,metal 20,-
