ID,Nome,Descrição
0,espada de madeira,-
1,escudo de madeira,-
2,armadura de madeira,-
3,espada de bronze,-
4,escudo de bronze,-
5,armadura de bronze,-
6,espada pesada,-
7,escudo pesada,-
8,armadura pesada,-
9,espada da montanha,-
10,escudo da montanha,-
11,armadura da montanha,-
12,espada do cavaleiro,-
13,escudo do cavaleiro,-
14,armadura do cavaleiro,-
15,espada fenomenal,-
16,escudo fenomenal,-
17,armadura fenomenal,-
18,espada do epicentro,-
19,escudo do epicentro,-
20,armadura do epicentro,-
21,espada dimensional,-
22,escudo dimensional,-
23,armadura dimensional,-
24,espada do pirata,-
25,escudo do pirata,-
26,armadura do pirata,-
27,espada épica,-
28,escudo épico,-
29,armadura épica,-
30,espada arcana,-
31,escudo arcano,-
32,armadura arcana,-
33,espada lunar,-
34,escudo lunar,-
35,armadura lunar,-
36,espada feroz,-
37,escudo feroz,-
38,armadura feroz,-
39,espada curva,-
40,escudo curvo,-
41,armadura curva,-
42,espada picante,-
43,escudo picante,-
44,armadura picante,-
45,espada da floresta,-
46,escudo da floresta,-
47,armadura da floresta,-
48,espada da escavação,-
49,escudo da escavação,-
50,armadura da escavação,-
51,espada secular,-
52,escudo secular,-
53,armadura secular,-
54,espada do cristal,-
55,escudo do cristal,-
56,armadura do cristal,-
57,espada da caverna,-
58,escudo da caverna,-
59,armadura da caverna,-
60,espada tropical,-
61,escudo tropical,-
62,armadura tropical,-
63,espada ondulada,-
64,escudo ondulado,-
65,armadura ondulada,-
66,espada da ilha,-
67,escudo da ilha,-
68,armadura da ilha,-
69,espada do oceano,-
70,escudo do oceano,-
71,armadura do oceano,-
72,espada do magma,-
73,escudo do magma,-
74,armadura do magma,-
75,espada de chocolate,-
76,escudo de chocolate,-
77,armadura de chocolate,-
78,espada da fênix,-
79,escudo da fênix,-
80,armadura da fênix,-
81,espada explosiva,-
82,escudo explosivo,-
83,armadura explosiva,-
84,espada em derretimento,-
85,escudo em derretimento,-
86,armadura em derretimento,-
87,espada do vulcão,-
88,escudo do vulcão,-
89,armadura do vulcão,-
90,espada gelada,-
91,escudo gelado,-
92,armadura gelada,-
93,espada invernal,-
94,escudo invernal,-
95,armadura invernal,-
96,espada do homem das neves,-
97,escudo do homem das neves,-
98,armadura do homem das neves,-
99,emblema do cavaleiro,-
100,espada de brinquedo,-
101,escudo de brinquedo,-
102,armadura de brinquedo,-
103,espada artesanal,-
104,escudo artesanal,-
105,armadura artesanal,-
106,espada do sonhador,-
107,escudo do sonhador,-
108,armadura do sonhador,-
109,espada leve,-
110,escudo leve,-
111,armadura leve,-
112,espada da coragem,-
113,escudo da coragem,-
114,armadura da coragem,-
115,espada do parceiro,-
116,escudo do parceiro,-
117,armadura do parceiro,-
118,espada do som,-
119,escudo do som,-
120,armadura do som,-
121,espada selvagem,-
122,escudo selvagem,-
123,armadura selvagem,-
124,espada do amor,-
125,escudo do amor,-
126,armadura do amor,-
127,espada do ninja,-
128,escudo do ninja,-
129,armadura do ninja,-
130,espada da restauração,-
131,escudo da restauração,-
132,armadura da restauração,-
133,espada da energia,-
134,escudo da energia,-
135,armadura da energia,-
136,espada espinhosa,-
137,escudo espinhoso,-
138,armadura espinhosa,-
139,espada pantanosa,-
140,escudo pantanoso,-
141,armadura pantanosa,-
142,espada da névoa,-
143,escudo da névoa,-
144,armadura da névoa,-
145,espada gloriosa,-
146,escudo glorioso,-
147,armadura gloriosa,-
148,espada negra,-
149,escudo negro,-
