ID,Nome,Descrição
0,ferque,-
1,linha de costura,-
2,couro sintético,-
3,minério de ferro,-
4,rochas ignidoras,-
5,algodão,-
6,minério de ouro,-
7,carbono,-
8,ouro,-
9,ferro,-
10,pena da montanha,-
11,meteorito,-
12,agulha,-
13,carvão,-
14,aço,-
15,fermento,-
16,casca de ostra,-
17,titânio,-
18,bambu,-
19,pano,-
20,estaca,-
21,álcool,-
22,videiras,-
23,lego,-
24,peça plástica,-
25,argila,-
26,gel protetivo,-
27,filtro dos sonhos,-
28,amuleto purificador,-
29,alumínio,-
30,algodão flutuante,-
31,presa,-
32,madeira enrugada,-
33,laço,-
34,laço compartilhado,-
35,nota musical,-
36,extensão amplificadora,-
37,cicatriz,-
38,escamas de besta,-
39,conexão,-
40,barreira de amor,-
41,kunai,-
42,proteção shinobi,-
43,tanque reserva,-
44,energia auto-abastecedora,-
45,bola de plasma,-
46,energia fluente,-
47,espinho,-
48,formação cálcica,-
49,massa orgânica,-
50,muco gosmento,-
51,musgo,-
52,névoa densa,-
53,glória,-
54,disco avantajado,-
55,influência maléfica,-
56,tentáculos sombrios,-
57,pelo espinhoso,-
58,atitude rebelde,-
59,fragmento de espada,-
60,peça de escudo,-
61,crosta,-
62,casca calcificada,-
63,areia de praia,-
64,grãos úmidos,-
65,pedra brilhante,-
66,feixe incandescente,-
67,totem,-
68,coroa de folhas,-
69,poder ondulado,-
70,bolha de água,-
71,chama circular,-
72,explosão conjurada,-
73,chama interna,-
74,passo contínuo,-
75,placa tectônica,-
76,choque terrestre,-
77,lava pressurizada,-
78,poder indomado,-
79,urânio radioativo,-
80,núcleo forte,-
81,olho de dragão,-
82,orelha de dragão,-
83,pele de dragão,-
84,cabeça de dragão,-
85,picolé,-
86,bolas congeladas,-
87,neve polar,-
88,pólo magnético,-
89,luz boreal,-
90,amanhecer brilhante,-
91,água aventureira,-
92,fogo aventureiro,-
93,terra aventureira,-
94,planta aventureira,-
95,ar aventureiro,-
96,trovão aventureiro,-
97,luz aventureira,-
98,sombra aventureira,-
99,neve aventureira,-
