ID,Nome,Descrição
0,frutinha,-
1,maçã,-
2,banana,-
3,morango,-
4,pimenta,-
5,amora,-
6,peixe pequeno,-
7,peixe médio,-
8,peixe grande,-
9,framboesa,-
10,limão,-
11,laranja,-
12,tomate,-
13,cenoura,-
14,mel,-
15,manga,-
16,melancia,-
17,uvas,-
18,carne crua,-
19,carne tostada,-
20,leite,-
21,inseto,-
22,sanguessuga,-
23,pão,-
24,milho,-
25,pão de batata,-
26,húmus,-
27,guaraná,-
28,açaí,-
29,castanha,-
30,morcego,-
31,rato,-
32,aranha,-
33,cogumelo,-
34,fóssil,-
35,limo,-
36,fóssil torrado,-
37,limo quente,-
38,coco,-
39,palmito,-
40,salada de frutas,-
41,carangueijo,-
42,coquetel,-
43,sopa,-
44,bebida quente,-
45,café,-
46,pão de alho,-
47,macarrão,-
48,yakisoba,-
49,queijo derretido,-
50,comida de dragão,-
51,chocolate quente,-
52,pizza,-
53,sorvete,-
54,chá gelado,-
55,doces,-
56,leite achocolatado,-
57,enguia,-
58,algas,-
59,ostra,-
