ID,Nome,Descrição
0,runa de ataque nv 1,-
1,runa de defesa nv 1,-
2,runa de ataque nv 2,-
3,runa de defesa nv 2,-
4,runa de ataque nv 3,-
5,runa de defesa nv 3,-
6,runa de ataque nv 4,-
7,runa de defesa nv 4,-
8,runa de ataque nv 5,-
9,runa de defesa nv 5,-
10,runa de ataque nv 6,-
11,runa de defesa nv 6,-
12,runa de ataque nv 7,-
13,runa de defesa nv 7,-
14,runa de ataque nv 8,-
15,runa de defesa nv 8,-
16,runa de ataque nv 9,-
17,runa de defesa nv 9,-
18,runa de ataque nv 10,-
19,runa de defesa nv 10,-
20,runa especial de ataque nv 1,-
21,runa especial de defesa nv 1,-
22,runa especial de ataque nv 2,-
23,runa especial de defesa nv 2,-
24,runa especial de ataque nv 3,-
25,runa especial de defesa nv 3,-
26,runa especial de ataque nv 4,-
27,runa especial de defesa nv 4,-
28,runa especial de ataque nv 5,-
29,runa especial de defesa nv 5,-
30,runa especial de ataque nv 6,-
31,runa especial de defesa nv 6,-
32,runa especial de ataque nv 7,-
33,runa especial de defesa nv 7,-
34,runa especial de ataque nv 8,-
35,runa especial de defesa nv 8,-
36,runa especial de ataque nv 9,-
37,runa especial de defesa nv 9,-
38,runa especial de ataque nv 10,-
39,runa especial de defesa nv 10,-
