Id,Nome,Descrição
0,pêlo,-
1,asas,-
2,noz,-
3,couro,-
4,pedra,-
5,pedra estranhamente redonda,-
6,esporos,-
7,gosma,-
8,folha,-
9,casca,-
10,ambrosia,-
11,samambaia,-
12,hedera,-
13,folha de maple,-
14,tulsi,-
15,orquídea,-
16,violeta,-
17,espinho preto,-
18,orvalho,-
19,lilás,-
20,flor,-
21,fogueira,recupera vida com o tempo
22,antídoto,para veneno
23,bandaid,recupera vida
24,megafone,-
25,minhoca,aumenta chance de pesca (usada automagicamente)
26,garrafa pequena,pode ser enchida com água
27,garrafa média,pode ser enchida com água
28,garrafa grande,pode ser enchida com água
29,garrafa pequena de água,-
30,garrafa média de água,-
31,garrafa grande de água,-
32,arame,-
33,pedra pesada,-
34,corrente fina,-
35,seda animal,-
36,pá,-
37,escada,permite entrar e sair da caverna
38,tenda,-
39,corda,permite entrar e sair da caverna (consumível). Leve pelo menos duas
40,vara de pescar,permite pescar
41,casca sardenta,-
42,carteira,-
43,animal que late,-
44,cipó,-
45,perna de inseto,-
46,galhos,-
47,bola de pêlos,-
48,lentes refletivas,-
49,mola,-
50,tecla de piano,-
51,braço peludo,-
52,caulo seco,-
53,telescópio,-
54,asas de morcego,-
55,olhos brilhantes,-
56,ovo pequeno,-
57,ovo pontudo,-
58,espírito frenético,-
59,pepita de ouro,-
60,diamante,-
61,grafeno,-
62,corda dourada,-
63,pena colorida,-
64,esporo venenoso,causa envenenamento
65,escama cortante,causa sangramento
66,escama protetora,causa bloqueio
67,tábua atordoante,causa atordoamento
68,chifre,-
69,zípper silenciador,causa silêncio
70,mordaça,causa silêncio
71,madeira com pregos,causa atordoamento
72,seringa,-
73,seringa envenenada,causa envenenamento
74,cogumelo alucinógeno,deixa alucinado
75,casco robusto,causa bloqueio
76,copo vazio,Mas sem espaço para especulações filosóficas
77,óculos de sol,-
78,copo com veneno,causa envenenamento
79,pequena dose de adrenalina,aumenta a velocidade de ataque
80,pedra energizada,aumenta chance de refino de armas (usada automagicamente)
81,fluido viscoso,para o sangramento
82,calmante,para o sangramento e reduz a velocidade de ataque
83,seringa com adrenalina,aumenta a velocidade de ataque
84,engrossador de sangue,para o sangramento
85,elástico,-
86,binóculos,aumenta dex
87,óculos de alta precisão,aumenta dex
88,cachimbo,-
89,poção mágica,aumenta ataque e defesa mágicos
90,pó cintilante,aumenta chance de refino de armas especiais (usado automagicamente)
91,neve cintilante,-
92,presa curva,-
93,gás de enxofre,-
94,fumaça colorida,-
95,orbe mágico,-
96,fósforos,-
97,ignidor,-
98,asas celestiais,-
99,vareta encantada,aumenta chance de refino de escudos e armaduras (usada automagicamente)
100,manifesto eclíptico,aumenta chance de refino de escudos e armaduras especiais (usado automagicamente)
101,manhã pacífica,-
102,estilingue,-
103,língua grudenta,-
104,olhos de águia,são os olhos dela...não os seus (não aumenta dex)
105,copo de cerveja,deixa bêbado
106,galão de cerveja,deixa muito bêbado
107,pintura festiva,-
108,orelhas de elfo,essas orelhas te deixam élficu
109,teia de tarântula,reduces agi
110,pílulas suspeitas,você não tomaria pílulas tão suspeitas
111,voz gravada,para o silêncio
112,remédio,-
113,lama suja,e tem lama limpa?
114,pano molhado,causa ataque de água
115,pano em chamas,causa ataque de fogo
116,semente de crescimento rápido,causa ataque de planta
117,bola de argila,causa ataque de terra
118,ar vibrante,causa ataque de ar
119,pano atritado,causa ataque de trovão
120,vidro luminoso,causa ataque de luz
121,capa sombria,causa ataque de escuridão
122,bola de neve,causa ataque de neve
123,arma d'água,causa ataque de água
124,panela fervente,causa ataque de fogo
125,folha afiada,causa ataque de planta
126,rochedo,causa ataque de terra
127,ar pressurizado,causa ataque de ar
128,fio elétrico,causa ataque de trovão
129,lanterna,causa ataque de luz
130,venda,causa ataque de escuridão
131,punhado de neve,causa ataque de neve
132,canhão de água,causa ataque de água
133,incinerador,causa ataque de fogo
134,pé de feijão,causa ataque de planta
135,montanha,causa ataque de terra
136,espinho faiscante,causa ataque de ar
137,nuvem carregada,causa ataque de trovão
138,holofote,causa ataque de luz
139,tábua molhada,causa ataque de escuridão
140,avalanche,causa ataque de neve
141,seixo cósmico,-
142,estrela cadente,-
143,raiz subterrânea,-
144,fragmento de pulsar,-
