ID,Nome,Descrição
0,poção de hp do pet 1,-
1,poção de mp do pet 1,-
2,ração de pet,-
3,set da madeira do pet,-
4,poção de hp do pet 2,-
5,poção de mp do pet 2,-
6,refresco de banana,-
7,set de metal do pet,-
8,poção de hp do pet 3,-
9,poção de mp do pet 3,-
10,refresco de maçã,-
11,set de aço do pet,-
12,poção de hp do pet 4,-
13,poção de mp do pet 4,-
14,refresco de amora,-
15,set rochoso do pet,-
16,poção de hp do pet 5,-
17,poção de mp do pet 5,-
18,refresco de morango,-
19,set fossilizado do pet,-
20,poção de hp do pet 6,-
21,poção de mp do pet 6,-
22,mini côco,-
23,set das ruínas do pet,-
24,poção de hp do pet 7,-
25,poção de mp do pet 7,-
26,água fresca,-
27,set tropical do pet,-
28,poção de hp do pet 8,-
29,poção de mp do pet 8,-
30,energético do pet,-
31,set de côco do pet,-
32,poção de hp do pet 9,-
33,poção de mp do pet 9,-
34,olho de águia,-
35,set do oceano do pet,-
36,poção de hp do pet 10,-
37,poção de mp do pet 10,-
38,plâncton,-
39,set da lava do pet,-
40,poção de hp do pet 11,-
41,poção de mp do pet 11,-
42,cinzas,-
43,set de chocolate do pet,-
44,poção de hp do pet 12,-
45,poção de mp do pet 12,-
46,água fervente,-
47,set da fênix do pet,-
48,poção de hp do pet 13,-
49,poção de mp do pet 13,-
50,lanchinho,-
51,set do dragão do pet,-
52,poção de hp do pet 14,-
53,poção de mp do pet 14,-
54,cauda de serpente,-
55,set gelado do pet,-
56,poção de hp do pet 15,-
57,poção de mp do pet 15,-
58,floco de gelo,-
59,set do boneco de neve do pet,-
