ID,Nome,Descricao
0,hp da floresta 1,hp da floresta 1
1,mp da floresta 1,mp da floresta 1
2,hp da floresta 2,hp da floresta 2
3,mp da floresta 2,mp da floresta 2
4,hp da floresta 3,hp da floresta 3
5,mp da floresta 3,mp da floresta 3
6,hp da floresta 4,hp da floresta 4
7,mp da floresta 4,mp da floresta 4
8,hp da floresta 5,hp da floresta 5
9,mp da floresta 5,mp da floresta 5
10,hp da floresta 6,hp da floresta 6
11,mp da floresta 6,mp da floresta 6
12,hp da floresta 7,hp da floresta 7
13,mp da floresta 7,mp da floresta 7
14,hp da floresta 8,hp da floresta 8
15,mp da floresta 8,mp da floresta 8
16,hp da floresta 9,hp da floresta 9
17,mp da floresta 9,mp da floresta 9
18,hp da floresta 10,hp da floresta 10
19,mp da floresta 10,mp da floresta 10
20,hp da floresta 11,hp da floresta 11
21,mp da floresta 11,mp da floresta 11
22,hp da caverna 1,hp da caverna 1
23,mp da caverna 1,mp da caverna 1
24,hp da caverna 2,hp da caverna 2
25,mp da caverna 2,mp da caverna 2
26,hp da ilha 1,hp da ilha 1
27,mp da ilha 1,mp da ilha 1
28,hp do oceano 1,hp do oceano 1
29,mp do oceano 1,mp do oceano 1
30,hp do vulcão 1,hp do vulcão 1
31,mp do vulcão 1,mp do vulcão 1
32,hp do vulcão 2,hp do vulcão 2
33,mp do vulcão 2,mp do vulcão 2
34,hp do vulcão 3,hp do vulcão 3
35,mp do vulcão 3,mp do vulcão 3
36,hp da terra das neves 1,hp da terra das neves 1
37,mp da terra das neves 1,mp da terra das neves 1
38,hp da terra das neves 2,hp da terra das neves 2
39,mp da terra das neves 2,mp da terra das neves 2
40,Bebida de água,Impulso de água
41,Bebida de fogo,Impulso de fogo
42,Bebida de planta,Impulso de planta
43,Bebida de terra,Impulso de terra
44,Bebida de ar,Impulso de ar
45,Bebida de trovão,Impulso de trovão
46,Bebida de luz,Impulso de luz
47,Bebida de escuridão,Impulso de escuridão
48,Bebida de neve,Impulso de neve
49,Bebida de ataque físico,Impulso de ataque físico
50,Bebida de ataque mágico,Impulso de ataque mágico
51,Bebida de defesa,Impulso de defesa
52,Bebida de dex e agi,Impulso de destreza e agilidade
53,Bebida de atordoamento,Impulso de atordoamento
54,Bebida de bloqueio,Impulso de bloqueio
55,Bebida de sangue,Impulso de sangue
56,Bebida de veneno,Impulso de veneno
57,Bebida de silêncio,Impulso de silêncio
58,Bebida de velocidade,Impulso de velocidade
59,Bebida do dragão,Bebida do dragão
