ID,Nome,Descrição
0,casca rígida,-
1,beira cortante,-
2,madeira dura,-
3,resina,-
4,base fixa,-
5,memória de criança,-
6,espírito de luta,-
7,curiosidade selvagem,-
8,ousadia encorajadora,-
9,mente brincalhona,-
10,coração valente,-
11,voz ousada,-
12,impulso impetuoso,-
13,gesto feroz,-
14,vontade ardente,-
15,prova de coragem,-
16,prova de honra,-
17,prova de lealdade,-
18,orbe do mestre lorde,-
19,prova de valor,-
20,prova de bondade,-
21,orbe do mestre escudeiro,-
22,prova de mágica,-
23,prova de sabedoria,-
24,prova de conhecimento,-
25,orbe do mestre arquimago,-
26,prova de reabastecimento,-
27,prova de pureza,-
28,orbe do mestre curandeiro,-
29,prova de determinação,-
30,prova de destreza,-
31,prova de energia,-
32,orbe do mestre ranger,-
33,prova de simplicidade,-
34,prova de química,-
35,orbe do mestre elementalista,-
36,prova de natureza,-
37,prova de paz,-
38,prova de equilíbrio,-
39,orbe do mestre rei da floresta,-
40,prova de selvageria,-
41,prova de harmonia,-
42,orbe do mestre selvagem,-
43,prova de crime,-
44,prova de dinheiro,-
45,prova de ambição,-
46,orbe do mestre mercenário,-
47,prova de poder,-
48,prova de agilidade,-
49,orbe do mestre ágil,-
50,bronze moldável,-
51,tubo manipulativo,-
52,bloco batível,-
53,adorno espinhoso,-
54,faíscas metálicas,-
55,amuleto de confiança,-
56,laço de amizade,-
57,ligação criativa,-
58,conexão inquebrável,-
59,piada interna,-
60,vontade ascendente,-
61,equipamento de escalada,-
62,massa volumosa,-
63,robustez,-
64,constituição muscular,-
65,fluido químico,-
66,bolhas mágicas,-
67,redemoinho hipnótico,-
68,sangue vívido,-
69,energia arcana,-
70,lâmina da nuvem,-
71,capa das sombras,-
72,ornamento pervasivo,-
73,calçados velozes,-
74,braçadeira cortante,-
75,emblema da função,-
76,orgulho da profissão,-
77,amuleto da maestria,-
78,estaca calística,-
79,emblema oficial,-
80,madeira flexível,-
81,linha,-
82,gancho,-
83,peixe pego à mão,-
84,pés nadantes,-
85,onda sonora,-
86,timbre volante,-
87,veia vibrante,-
88,metal ressonante,-
89,espírito rock 'n roll,-
90,rocha encantada,-
91,neon brilhante,-
92,esfera orbital,-
93,material precioso,-
94,rocha forjadora,-
95,cinto hediondo,-
96,mão vampírica,-
97,ótica molecular,-
98,cabelo estringente,-
99,turbina voltaica,-
100,face espiritual,-
101,pata felina,-
102,leve brisa,-
103,folha pálida,-
104,celúla úmida,-
105,curva fulvosa,-
106,chifre demoníaco,-
107,telha cancerígena,-
108,peça de borracha,-
109,sorriso pacífico,-
110,cone perfurante,-
111,mineral endurecido,-
112,gesso cristalizado,-
113,gel colante,-
114,base de armadura,-
115,tatuagem de nativo,-
116,saia de flores,-
117,máscara tribal,-
118,ferramentas indígena,-
119,arma do sobrevivente,-
120,movimento violento,-
121,pétala rara,-
122,essência fragante,-
123,cauda melada,-
124,cérebro delicioso,-
125,sombra das ruínas,-
126,queijo do rato,-
127,lâmpada conveniente,-
128,cachorro de neve perfeito,-
129,lixo sem valor,-
130,raio radioativo,-
131,núcleos carregados,-
132,neutron fundido,-
133,força eletromagnética,-
134,vibração quântica,-
135,aroma atrativo,-
136,dente de roedor,-
137,líquido nuclear,-
138,rocha derretida,-
139,corda musical,-
140,canivete velho,-
141,arame duro,-
142,peça longa de madeira,-
143,lençol quentinho,-
144,nariz de palhaço,-
145,guerreira dos lobos,-
146,semente boreal,-
147,pintura natural,-
148,animal polar,-
149,intuição desconhecida,-
150,semblante motivado,-
151,bravura constante,-
152,chama incisiva,-
153,lança apocalíptica,-
154,olho do outro mundo,-
155,fantoche lúdico,-
156,máscara de javali,-
157,chapéu férvido,-
158,encanto intemporal,-
159,fragância charmosa,-
160,vacina letal,-
161,sonho iluminado,-
162,evento abençoado,-
163,salto de fé,-
164,pergaminho largo,-
165,tinta de escrever,-
166,asas de gárgula,-
167,olhar vampírico,-
168,pena jurássica,-
169,ursinho de pelúcia,-
170,ritmo contagiante,-
171,adams icônico,-
172,marcador de livro desenhado,-
173,criação artística,-
174,mão autônoma,-
175,exilir da vida,-
176,esfera de zigoto,-
177,ser-vivo interativo,-
178,lampião antigo,-
179,papiro conservado,-
180,nota pensativa,-
181,escritor calmo,-
182,bebida elétrica,-
183,rabiscos recuperados,-
184,areia fina,-
185,cola tranquila,-
186,cabo exposto,-
187,dedos alternativos,-
188,registros plastificados,-
189,palheta vibrante,-
190,dinossauro medieval,-
191,software bugado,-
192,suco doce,-
193,pó de carbono,-
194,folha sideral,-
195,mimo apetitoso,-
196,sela aconchegante,-
197,aura do dragão,-
198,postura relaxada,-
199,mapa congelado,-
