ID,nome,descricao,efeito
0,Pancada,Movimento especial causando mais dano físico que ataques normais.,Ataque físico com dano adicional de até 5 + 10%.
1,Vitalidade,Treino de resistência física que aumenta a quantidade de dano suportado.,Aumenta permanente a vida máxima em até 50 + 25%.
2,Força,Treino de ataque físico que aumenta o dano físico causado a inimigos.,Aumenta permanente o ataque físico em até 10 + 20%.
3,Resistência,Treino de defesa física que reduz o dano físico recebido de inimigos.,Aumenta permanente a defesa física em até 10 + 20%.
4,Vida eterna,Concentra a energia vital aumentando temporariamente a quantidade de vida.,Aumenta a vida temporariamente em até 100% com chance de receber atordoamento de até 10%.
5,Postura ofensiva,Assume uma postura totalmente ofensiva causando temporariamente mais dano porém cuidando menos de sua defesa.,Aumenta temporariamente o ataque físico em até 50% e reduz temporariamente a defesa física em até 25%.
6,Ataque penetrante,Ataque que penetra mais fundo na defesa do inimigo ignorando parte da sua defesa e aumentando a chance de ataque crítico.,Ataque físico padrão que ignora até 20% da defesa física e possui destreza e chance de crítico até 5% maior.
7,Sangue grosso,Alimentação e treino especiais que engrossa o sangue diminuindo a quantidade de sangramento em feridas.,Diminui permanentemente o dano provocado por sangramento em até 2 + 25%.
8,Batida poderosa,Um poderoso movimento que causa bastante dano físico podendo até ser crítico e atordoar o inimigo.,Ataque físico com dano adicional de até 50 + 20% chance de crítico até 5% maior e chance adicional de atordoar de até 5%.
9,Bloqueio,Concentra na defesa aumentando temporariamente a defesa e a chance de bloquear golpes.,Aumenta temporariamente a defesa de até 20% e chance de bloqueio de até 80%.
10,Resistência neutra,Técnica que permite utilizar a energia mágica como vida temporariamente.,Aumenta permanentemente a resistência contra danos neutros em até 15%.
11,Condição física,Duro treinamento físico que aumenta ataque destreza e agilidade.,Aumenta permanentemente o ataque físico em até 10 a destreza em até 5 e a agi em até 5.
12,Posture defensiva,Assume uma postura defensiva aumentando temporariamente a defesa porém causando menos dano.,Aumenta temporariamente a defesa física em até 50% e reduz o ataque físico em até 25%.
13,Técnica de espada,Poderosa técnica que causa grande dano físico com boa chance de ser crítico e atordoar o inimigo ao mesmo tempo em que aumenta a força física.,Ataque físico com dano adicional de até 50 + 25% chance adicional de crítico e atordoar de até 20% e aumento temporário de vida ataque físico e defesa física em até 10%.
14,Treinamento de Lorde,Intenso treinamento físico que faz parte da preparação para se tornar um Lorde.,Aumenta permanentemente o vida máxima o ataque físico e a defesa física em até 1100 45 e 25.
15,Ataque atordoante,Ataque especial com o objetivo de atordoar o alvo.,Ataque com dano físico adicional de até 100 + 50% e chance de atordoar de até 70%.
16,Na mosca!,Ataque muito preciso porém que força o Lorde a baixar sua guarda para executar.,Ataque com até 80% de dano adicional e com até 100% mais precisão. Diminui temporariamente a defesa em até 20%.
17,Aquecimento,Preparação para a batalha que deixa o Lorde de sangue quente aumentando suas habilidades.,Aumenta temporariamente todos os atributos positivos em até 50%.
18,Treinamento atordoante,Treinamento específico para dar mais rapidez ao Lorde e focar nos pontos de atordoamento do inimigo.,Aumenta permanentemente a destreza e agilidade em até 15 e a chance de ataques físicos normais atordoarem em até 20%.
19,Maestria de arma,Treinamento que permite ao Lorde utilizar melhor sua arma.,Aumenta permanentemente o bônus de ataque físico da arma em até 50%.
20,Nobreza,Lorde poupa a vida de seu inimigo se estiver mais forte que ele ganhando a experiência da batalha.,Poupa a vida do inimigo se a sua vida está mais cheia que a dele quando ele está abaixo de até 15% da vida ganhando a experiência.
21,Ataque fatal,Ataque físico extremamente poderoso que causa dano colossal porém expõe o Lorde a ataques críticos.,Ataque físico com dano adicional de até 300 + 300% aumenta a chance de receber ataques críticos em até 50%.
22,Nome,Descrição..,Efeito.
